Designation;A;Ix;Zx;Sx;rx;Iy;Zy;Sy;ry;J
W44X335;98.5;31100;1620;1410;17.8;1200;236;150;3.49;74.7
W44X290;85.4;27000;1410;1240;17.8;1040;205;132;3.49;50.9
W44X262;77.2;24100;1270;1110;17.7;923;182;117;3.47;37.3
W44X230;67.8;20800;1100;971;17.5;796;157;101;3.43;24.9
W40X593;174;50400;2760;2340;17.0;2520;481;302;3.80;445
W40X503;148;41600;2320;1980;16.8;2040;394;249;3.72;277
W40X431;127;34800;1960;1690;16.6;1690;328;208;3.65;177
W40X397;117;32000;1800;1560;16.6;1540;300;191;3.64;142
W40X372;110;29600;1680;1460;16.5;1420;277;177;3.60;116
W40X362;106;28900;1640;1420;16.5;1380;270;173;3.60;109
W40X324;95.3;25600;1460;1280;16.4;1220;239;153;3.58;79.4
W40X297;87.3;23200;1330;1170;16.3;1090;215;138;3.54;61.2
W40X277;81.5;21900;1250;1100;16.4;1040;204;132;3.58;51.5
W40X249;73.5;19600;1120;993;16.3;926;182;118;3.55;38.1
W40X215;63.5;16700;964;859;16.2;803;156;101;3.54;24.8
W40X199;58.8;14900;869;770;16.0;695;137;88.2;3.45;18.3
W40X392;116;29900;1710;1440;16.1;803;212;130;2.64;172
W40X331;97.7;24700;1430;1210;15.9;644;172;106;2.57;105
W40X327;95.9;24500;1410;1200;16.0;640;170;105;2.58;103
W40X294;86.2;21900;1270;1080;15.9;562;150;93.5;2.55;76.6
W40X278;82.3;20500;1190;1020;15.8;521;140;87.1;2.52;65.0
W40X264;77.4;19400;1130;971;15.8;493;132;82.6;2.52;56.1
W40X235;69.1;17400;1010;875;15.9;444;118;74.6;2.54;41.3
W40X211;62.1;15500;906;786;15.8;390;105;66.1;2.51;30.4
W40X183;53.3;13200;774;675;15.7;331;88.3;56.0;2.49;19.3
W40X167;49.3;11600;693;600;15.3;283;76.0;47.9;2.40;14.0
W40X149;43.8;9800;598;513;15.0;229;62.2;38.8;2.29;9.36
W36X652;192;50600;2910;2460;16.2;3230;581;367;4.10;593
W36X529;156;39600;2330;1990;16.0;2490;454;289;4.00;327
W36X487;143;36000;2130;1830;15.8;2250;412;263;3.96;258
W36X441;130;32100;1910;1650;15.7;1990;368;235;3.92;194
W36X395;116;28500;1710;1490;15.7;1750;325;208;3.88;142
W36X361;106;25700;1550;1350;15.6;1570;293;188;3.85;109
W36X330;96.9;23300;1410;1240;15.5;1420;265;171;3.83;84.3
W36X302;89.0;21100;1280;1130;15.4;1300;241;156;3.82;64.3
W36X282;82.9;19600;1190;1050;15.4;1200;223;144;3.80;52.7
W36X262;77.2;17900;1100;972;15.3;1090;204;132;3.76;41.6
W36X247;72.5;16700;1030;913;15.2;1010;190;123;3.74;34.7
W36X231;68.2;15600;963;854;15.1;940;176;114;3.71;28.7
W36X256;75.3;16800;1040;895;14.9;528;137;86.5;2.65;52.9
W36X232;68.0;15000;936;809;14.8;468;122;77.2;2.62;39.6
W36X210;61.9;13200;833;719;14.6;411;107;67.5;2.58;28.0
W36X194;57.0;12100;767;664;14.6;375;97.7;61.9;2.56;22.2
W36X182;53.6;11300;718;623;14.5;347;90.7;57.6;2.55;18.5
W36X170;50.0;10500;668;581;14.5;320;83.8;53.2;2.53;15.1
W36X160;47.0;9760;624;542;14.4;295;77.3;49.1;2.50;12.4
W36X150;44.3;9040;581;504;14.3;270;70.9;45.1;2.47;10.1
